code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603050,科林电气,电气设备,河北,30.54,0.8,1.62,186057.44,140804.56,18198.48,48845.5,3.01,0.261,6.16,1.72,20170414,33617.07,2.07,33.08,48.62,28.19,5.85,19019.0
603055,台华新材,纺织,浙江,12.5,1.01,5.48,367353.53,196300.69,132431.77,72129.5,1.32,0.619,4.57,2.26,20170921,121089.56,2.21,12.04,24.62,27.29,14.98,18295.0
603056,德邦股份,仓储物流,上海,30.81,1.0,9.6,809263.63,559785.44,153114.42,31860.35,0.33,0.33,3.78,5.21,20180116,213675.47,2.23,0.0,0.0,14.58,3.01,26184.0
603058,永吉股份,广告包装,贵州,34.67,2.28,4.24,97379.81,59103.05,22184.1,14231.17,0.34,0.149,2.14,4.84,20161223,26499.85,0.63,51.23,56.07,38.66,28.97,15944.0
603059,倍加洁,家居用品,江苏,27.29,0.2,0.8,105384.06,71808.05,12430.44,53004.3,6.63,0.62,10.28,3.0,20180302,19823.96,2.48,0.0,0.0,24.77,13.1,12095.0
603060,国检集团,建筑施工,北京,21.46,0.64,2.2,140190.02,76213.15,35948.92,43760.55,1.99,0.359,4.81,3.21,20161109,34473.05,1.57,15.63,39.31,47.69,20.11,20279.0
603063,禾望电气,电气设备,深圳,32.47,2.55,4.2,277248.22,250079.88,3859.98,93835.74,2.23,0.094,5.63,1.08,20170728,93281.28,2.22,-31.46,-68.09,50.15,13.32,21468.0
603066,音飞储存,仓储物流,江苏,24.02,1.38,3.02,118315.32,97605.5,9677.24,19727.0,0.65,0.188,3.02,2.99,20150611,37197.65,1.23,25.26,32.75,33.14,16.1,21715.0
603067,振华股份,化工原料,湖北,15.87,1.56,3.08,133396.34,74846.97,53941.13,32371.1,1.05,0.383,3.92,2.07,20160913,51835.17,1.68,21.52,100.66,30.3,11.31,33072.0
603069,海汽集团,公路,海南,28.57,1.74,3.16,190426.17,68893.72,67475.82,37640.39,1.19,0.161,3.5,1.75,20160712,35858.9,1.13,-1.26,7.6,22.29,6.18,25753.0
603076,乐惠国际,专用机械,浙江,23.8,0.19,0.75,198065.97,171729.16,14909.25,51081.81,6.86,0.552,10.61,2.47,20171113,15342.54,2.06,10.04,11.08,25.77,8.69,6558.0
603077,和邦生物,化工原料,四川,23.63,88.31,88.31,1410502.63,432338.31,454044.44,21290.15,0.02,0.051,1.27,1.26,20120731,197377.7,0.22,37.88,30.28,22.41,9.84,164161.0
603078,江化微,化工原料,江苏,62.89,0.48,0.84,93582.59,57038.11,15589.75,35058.55,4.17,0.229,8.92,3.23,20170410,28657.3,3.41,2.67,-26.29,29.15,10.76,7789.0
603079,圣达生物,食品,浙江,26.59,0.37,1.12,105696.4,62732.36,19167.5,43135.25,3.85,0.462,7.13,2.3,20170823,22931.64,2.05,-4.05,-10.23,35.99,14.58,9305.0
603080,新疆火炬,供气供热,新疆,44.43,0.36,1.42,112072.97,65227.23,28198.9,48550.82,3.43,0.409,7.01,3.46,20180103,33858.01,2.39,13.59,17.12,40.55,23.59,22995.0
603081,大丰实业,专用机械,浙江,18.53,0.78,4.02,292179.34,241337.09,20898.31,47921.59,1.19,0.25,3.94,2.35,20170420,62696.5,1.56,6.42,-7.23,31.49,12.59,15624.0
603083,剑桥科技,通信设备,上海,199.01,0.32,1.27,234188.97,152625.0,46618.37,58352.15,4.59,0.056,8.26,2.68,20171110,33422.85,2.63,21.25,-83.16,8.67,0.49,13629.0
603085,天成自控,汽车配件,浙江,37.67,1.47,2.91,162141.06,94974.96,40398.73,51360.59,1.77,0.103,3.4,2.29,20150630,22536.46,0.77,42.85,7.71,26.88,7.39,6776.0
603086,先达股份,农药化肥,山东,10.25,0.73,1.12,161374.8,115745.47,16896.46,44502.15,3.97,1.601,11.48,1.9,20170511,64421.3,5.75,34.24,128.91,35.03,15.63,9215.0
603088,宁波精达,专用机械,浙江,30.07,1.12,1.12,81208.88,52366.87,18088.88,20385.03,1.82,0.277,4.56,2.43,20141111,16790.35,1.5,8.67,43.4,38.44,12.56,9257.0
603089,正裕工业,汽车配件,浙江,21.96,0.31,1.07,120663.57,72839.95,15142.25,34444.89,3.23,0.596,6.96,2.51,20170126,25262.56,2.37,18.77,2.51,20.8,8.5,10197.0
603090,宏盛股份,专用机械,江苏,37.39,0.41,1.0,62048.23,34079.15,11506.69,22232.38,2.22,0.254,4.73,2.67,20160831,13158.95,1.32,20.67,15.33,25.45,8.14,12384.0
603096,新经典,出版业,天津,34.15,0.54,1.35,180144.38,165759.0,595.17,93910.13,6.94,0.81,11.61,4.76,20170425,46225.92,3.42,-3.19,0.97,48.21,24.61,3534.0
603098,森特股份,装修装饰,北京,20.36,0.75,4.8,289799.31,253151.84,20680.74,38800.46,0.81,0.211,3.59,2.39,20161216,70250.36,1.46,73.01,13.25,19.82,8.46,17754.0
603099,长白山,旅游景点,吉林,21.8,2.67,2.67,132402.97,33041.32,72136.31,28555.84,1.07,0.289,3.83,2.19,20140822,40571.65,1.52,21.2,5.69,40.7,20.07,20688.0
603100,川仪股份,电器仪表,重庆,14.87,2.59,3.95,490366.56,366792.34,51989.4,70549.46,1.79,0.253,5.13,1.47,20140805,80878.05,2.05,12.81,40.93,31.69,6.1,24009.0
603101,汇嘉时代,百货,新疆,20.09,0.72,2.4,275612.09,49025.18,81979.5,43718.01,1.82,0.334,5.62,2.38,20160506,63414.36,2.64,18.62,24.12,17.76,4.71,21198.0
603103,横店影视,影视音像,浙江,19.14,0.53,4.53,302986.34,136453.88,82356.49,75497.65,1.67,0.502,4.63,4.15,20171012,79965.1,1.77,18.02,13.14,25.99,15.51,20921.0
603105,芯能科技,电气设备,浙江,65.04,0.88,5.0,231999.59,80956.68,140278.13,42923.34,0.86,0.13,2.6,5.31,20180709,20438.14,0.41,0.0,0.0,44.94,22.1,84136.0
603106,恒银金融,电脑设备,天津,35.02,1.3,3.08,213299.95,190313.27,15916.0,95490.57,3.1,0.147,5.26,1.96,20170920,32641.41,1.06,-27.87,-49.28,31.35,8.39,31774.0
603108,润达医疗,医药商业,上海,13.31,5.08,5.8,745437.75,423853.56,81247.36,102381.46,1.77,0.42,4.29,1.74,20150527,84121.31,1.45,48.17,45.12,27.38,5.61,15422.0
603110,东方材料,染料涂料,浙江,44.88,0.54,1.44,71341.31,52778.38,10386.33,23882.64,1.66,0.16,4.33,2.47,20171013,22355.17,1.56,-1.18,-21.37,28.85,9.53,14172.0
603111,康尼机电,运输设备,江苏,0.0,7.38,9.93,734670.69,424990.25,55444.56,317771.88,3.2,-0.63,4.27,0.91,20140801,-3104.4,-0.03,80.73,-628.47,32.47,-33.62,27635.0
603113,金能科技,化工原料,山东,7.78,3.32,6.76,586580.13,300393.91,227878.84,178419.38,2.64,0.773,6.33,1.9,20170511,165058.94,2.44,28.74,43.57,19.16,12.94,32560.0
603116,红蜻蜓,服饰,浙江,12.26,5.76,5.84,459325.56,340732.66,55147.73,99612.4,1.71,0.273,5.95,1.13,20150629,205730.7,3.52,2.13,-8.49,34.92,10.71,27770.0
